dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
635_fri_c0_250_10,regression,friedman,250,10,A11 A21 A31 A41 A53 A61,BASE-HGB,0.8274,EN2,0.8003,0.823,0.8274,0.842,,0.6186,-0.0177,,,,19,0,0.0271,0.0045,0.0,0.2089
637_fri_c1_500_50,regression,friedman,500,50,A11 A21 A31 A41 A53 A61,EN2,0.8794,EN2,0.8794,0.8794,0.8632,0.8672,,0.3334,-0.2749,,,,19,0,0.0,0.0,0.0162,0.546
641_fri_c1_500_10,regression,friedman,500,10,A11 A21 A31 A41 A53 A61,TR3,0.9111,EN2,0.9103,0.9111,0.9087,0.918,,0.5291,-0.0243,,,,19,0,0.0008,0.0,0.0025,0.382
643_fri_c2_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,EN2,0.8925,EN2,0.8925,0.8925,0.8877,0.8948,,0.2279,-2.891,,,,19,0,0.0,0.0,0.0048,0.6646
644_fri_c4_250_25,regression,friedman,250,25,A11 A21 A31 A41 A54 A61,TR3,0.794,EN2,0.7913,0.794,0.7734,0.7653,,0.2387,-1.2578,,,,19,0,0.0027,0.0,0.0206,0.5552
645_fri_c3_500_50,regression,friedman,500,50,A11 A21 A31 A41 A53 A61,EN2,0.8622,EN2,0.8622,0.8622,0.8585,0.8735,,0.427,-0.0717,,,,19,0,0.0,0.0,0.0037,0.4352
646_fri_c3_500_10,regression,friedman,500,10,A11 A21 A31 A41 A53 A61,EN2,0.9097,EN2,0.9097,0.9097,0.8999,0.9088,,0.555,-0.0154,,,,19,0,0.0,0.0,0.0098,0.3547
647_fri_c1_250_10,regression,friedman,250,10,A11 A21 A31 A41 A54 A61,EN2,0.8583,EN2,0.8583,0.8583,0.8505,0.848,,0.4136,-0.0477,,,,19,0,0.0,0.0,0.0078,0.4446
648_fri_c1_250_50,regression,friedman,250,50,A11 A21 A31 A42 A54 A61,BASE-HGB,0.8414,EN2,0.8361,0.8379,0.8414,0.8305,,0.3586,-0.0335,,,,19,0,0.0053,0.0036,0.0,0.4829
649_fri_c0_500_5,regression,friedman,500,5,A11 A21 A31 A41 A53 A61,SV2,0.9258,EN2,0.8931,0.8937,0.8957,0.9022,,0.7237,-0.0166,,,,19,0,0.0327,0.032,0.03,0.2021
650_fri_c0_500_50,regression,friedman,500,50,A11 A21 A31 A41 A53 A61,EN2,0.8566,EN2,0.8566,0.8566,0.845,0.8578,,0.5993,-0.003,,,,19,0,0.0,0.0,0.0116,0.2573
653_fri_c0_250_25,regression,friedman,250,25,A11 A21 A31 A41 A54 A61,EN4,0.7957,EN2,0.7818,0.7957,0.7911,0.8152,,0.5543,-0.0161,,,,19,0,0.0139,0.0,0.0046,0.2414
654_fri_c0_500_10,regression,friedman,500,10,A11 A21 A31 A41 A53 A61,EN4,0.8797,EN2,0.8621,0.8797,0.8714,0.8786,,0.6724,-0.0086,,,,19,0,0.0175,0.0,0.0083,0.2073
657_fri_c2_250_10,regression,friedman,250,10,A11 A21 A31 A41 A54 A61,TR3,0.8807,EN2,0.8666,0.8807,0.8574,0.8661,,0.4639,-0.0622,,,,19,0,0.0141,0.0,0.0232,0.4167
658_fri_c3_250_25,regression,friedman,250,25,A11 A21 A31 A41 A54 A61,EN2,0.8012,EN2,0.8012,0.8012,0.7578,0.7943,,0.2833,-0.9018,,,,19,0,0.0,0.0,0.0433,0.5179
666_rmftsa_ladata,regression,666_rmftsa_ladata,508,10,A11 A21 A31 A41 A54 A61,LM6,0.616,EN2,0.5438,0.5741,0.4509,0.5302,,0.5034,0.2259,,,,19,0,0.0722,0.0419,0.1651,0.1126
690_visualizing_galaxy,regression,690_visualizing_galaxy,323,4,A11 A21 A31 A41 A54 A61,TR3,0.9729,EN2,0.9718,0.9729,0.968,0.9748,,-19.1508,-207.4158,,,,19,0,0.0011,0.0,0.0049,20.1237
695_chatfield_4,regression,695_chatfield_4,235,12,A11 A21 A31 A41 A54 A61,LM4,0.8598,EN2,0.7768,0.8252,0.8051,0.782,,0.7849,0.3734,,,,19,0,0.083,0.0346,0.0548,0.0749
712_chscase_geyser1,regression,712_chscase_geyser1,222,2,A11 A21 A31 A41 A54 A61,LM6,0.7661,EN2,0.7049,0.7503,0.7493,0.7543,,0.5833,-1.8627,,,,19,0,0.0612,0.0158,0.0168,0.1828
Hill_Valley_with_noise,classification,Hill_Valley_with_noise,1212,100,A11 A21 A31 A41 A51 A61,SV1,0.731,TR3,0.6016,0.6016,0.5752,0.5925,,0.592,0.4929,,,,17,0,0.1294,0.1294,0.1558,0.139
Hill_Valley_without_noise,classification,Hill_Valley_without_noise,1212,100,A11 A21 A31 A41 A51 A61,EN6,0.7151,TR3,0.617,0.617,0.6113,0.6079,,0.5989,0.4985,,,,17,0,0.0981,0.0981,0.1038,0.1163
agaricus_lepiota,classification,mushroom,5000,22,A11 A21 A38 A41 A51 A61,TR2,1.0,TR3,1.0,1.0,1.0,1.0,,0.9988,0.9858,,,,17,0,0.0,0.0,0.0,0.0012
allbp,classification,thyroid_garvan,3772,29,A11 A21 A38 A41 A52 A61,TR1,0.7257,TR3,0.4753,0.6869,0.5028,0.6252,,0.5474,0.4542,,,,17,0,0.2503,0.0388,0.2228,0.1783
allhyper,classification,thyroid_garvan,3771,29,A11 A21 A38 A41 A52 A61,TR1,0.7086,TR3,0.4454,0.6541,0.5754,0.6331,,0.4821,0.2785,,,,17,0,0.2632,0.0545,0.1332,0.2265
allhypo,classification,thyroid_garvan,3770,29,A11 A21 A38 A41 A52 A61,EN2,0.8926,TR3,0.5657,0.8912,0.8696,0.7462,,0.623,0.3333,,,,17,0,0.3269,0.0014,0.0231,0.2696
allrep,classification,thyroid_garvan,3772,29,A11 A21 A38 A41 A52 A61,DR4,0.7814,TR3,0.5107,0.7362,0.7441,0.7298,,0.5383,0.25,,,,17,0,0.2708,0.0453,0.0373,0.2431
analcatdata_authorship,classification,analcatdata_authorship,841,70,A11 A21 A38 A41 A51 A61,LM2,0.9992,TR3,0.9915,0.9915,0.9855,0.9969,0.9984,0.9775,0.9098,,,,17,0,0.0076,0.0076,0.0137,0.0216
analcatdata_dmft,classification,analcatdata_dmft,797,4,A11 A21 A32 A41 A51 A61,EN7,0.2247,TR3,0.2056,0.2078,0.2147,0.2056,0.1742,0.2071,0.1923,0.2114,LM2,needs A31 data (yours is A32),13,4,0.0192,0.0169,0.01,0.0177
analcatdata_germangss,classification,analcatdata_germangss,400,5,A11 A21 A38 A41 A51 A61,EN6,0.3925,TR3,0.0375,0.3875,0.365,0.39,0.475,0.2857,0.0375,,,,17,0,0.355,0.005,0.0275,0.1068
analcatdata_lawsuit,classification,analcatdata_lawsuit,264,4,A11 A21 A38 A41 A52 A61,EN1,0.9709,TR3,0.8689,0.9689,0.8959,0.973,0.9418,0.8629,0.725,,,,17,0,0.102,0.002,0.075,0.108
ann_thyroid,classification,ann_thyroid,5000,21,A11 A21 A38 A41 A52 A61,TR1,0.9925,TR3,0.8424,0.9831,0.9817,0.935,,0.7884,0.4425,,,,17,0,0.1501,0.0094,0.0107,0.2041
auto_insurance_price,regression,auto_insurance,201,23,A11 A21 A38 A42 A54 A62,EN2,0.9214,EN2,0.9214,0.9214,0.8689,0.9055,,0.4692,-2.5874,,,,19,0,0.0,0.0,0.0525,0.4522
