dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,TR2,Random Forest,True,,3,0.9168367346938775,0.0966644884309391,1.62,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,TR3,Extra Trees,True,,1,0.8688775510204081,0.10961197701911571,1.29,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,EN1,AdaBoost,True,,15,0.9709183673469388,0.04817580258821581,0.34,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.9668367346938774,0.04636966435715005,0.39,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,EN6,Stacking,True,,6,0.725,0.16583123951777,0.38,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,EN7,Voting Ensemble,True,,8,0.8729591836734695,0.10957397338548001,0.14,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,SV1,SVM (linear),True,,12,0.8918367346938775,0.09053211662134984,0.07,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.7418367346938777,0.13511645215695195,0.08,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,PR1,Naive Bayes,True,,16,0.8357142857142857,0.1458737622705003,0.07,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.7627551020408163,0.12329638748565888,0.08,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.75,0.13693063937629152,0.07,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,NN1,Perceptron,True,,17,0.869047619047619,0.13420511886430142,0.07,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,NN2,MLP (Feedforward),True,,5,0.9168367346938776,0.1510721091866203,0.91,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,EN3,XGBoost,True,,4,0.9438775510204082,0.0970193006041201,0.12,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,EN4,LightGBM,True,,2,0.9688775510204082,0.04754488880498671,0.22,ok,,0
analcatdata_lawsuit,classification,264,4,False,A11 A21 A38 A41 A52 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8959183673469389,0.11920009671581461,0.38,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,LM2,Logistic Regression,False,needs A31 data (yours is A32),,0.6870834591764824,0.05055405444179725,0.12,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,TR1,Decision Tree,True,,12,0.675727373401792,0.0735649506251478,0.09,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,TR2,Random Forest,True,,3,0.7212775596496528,0.09367141936854527,1.64,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,TR3,Extra Trees,True,,1,0.7273431994362226,0.09146574892408993,1.31,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,EN1,AdaBoost,True,,13,0.6964965267290848,0.06570605123064648,0.39,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,EN2,Gradient Boosting (GBM),True,,7,0.7027182120205375,0.08679273098506292,0.49,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,EN6,Stacking,True,,6,0.6902647739857042,0.06599046293001014,0.74,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,EN7,Voting Ensemble,True,,8,0.686650558743582,0.08439328239372186,0.24,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,SV1,SVM (linear),True,,11,0.697578777811336,0.0929671670651522,0.09,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,SV2,Kernel SVM (RBF/Poly),True,,9,0.7102385986106916,0.07966822504293157,0.1,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,PR1,Naive Bayes,False,needs A31 data (yours is A32),,0.6767844558542233,0.06569442453519769,0.09,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,IB1,k-Nearest Neighbors,False,needs A31 data (yours is A32),,0.6812997080438941,0.10128933329261379,0.09,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,DR4,LDA (Linear Discriminant Analysis),True,,10,0.6960082553105809,0.059919018699248476,0.1,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,NN1,Perceptron,False,needs A31 data (yours is A32),,0.621866505587436,0.13272267470599625,0.09,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,NN2,MLP (Feedforward),True,,5,0.7281989328500956,0.08583002495228788,1.6,ok,,0
spect,classification,267,22,False,A11 A21 A32 A41 A52 A61,A53,EN3,XGBoost,True,,4,0.6983338367059297,0.08603832900474645,0.19,ok,,0
