dataset,task,family,best,ceiling,current,prior,prior_fit,prior_knn,boosting,tuned,current_model,prior_model,prior_fit_model,prior_knn_model,boosting_model,tuned_model
695_chatfield_4,regression,695_chatfield_4,0.8598,0.8598,0.8526,0.7768,0.8252,0.7768,0.8051,0.782,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
712_chscase_geyser1,regression,712_chscase_geyser1,0.7661,0.7661,0.7617,0.7049,0.6772,0.6772,0.7493,0.7543,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
Hill_Valley_with_noise,classification,Hill_Valley_with_noise,0.731,0.731,0.7053,0.5826,0.637,0.7069,0.5752,0.5925,LM2,EN4,NN2,EN6,BASE-HGB,BASE-HGB-TUNED
Hill_Valley_without_noise,classification,Hill_Valley_without_noise,0.7151,0.7151,0.6668,0.5879,0.5912,0.5879,0.6113,0.6079,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
agaricus_lepiota,classification,agaricus_lepiota,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
allbp,classification,allbp,0.7257,0.7257,0.7257,0.6543,0.6543,0.6543,0.5028,0.6252,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
allhyper,classification,allhyper,0.7086,0.7086,0.7086,0.5921,0.5921,0.5921,0.5754,0.6331,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
allhypo,classification,allhypo,0.8926,0.8926,0.8288,0.8912,0.8912,0.8912,0.8696,0.7462,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
allrep,classification,allrep,0.7814,0.7814,0.7178,0.7362,0.7362,0.7362,0.7441,0.7298,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
analcatdata_authorship,classification,analcatdata_authorship,0.9992,0.9992,0.9182,0.9764,0.9764,0.9764,0.9855,0.9969,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
analcatdata_dmft,classification,analcatdata_dmft,0.2247,0.2247,0.1923,0.2078,0.2078,0.2078,0.2147,0.2056,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
analcatdata_germangss,classification,analcatdata_germangss,0.3925,0.3925,0.31,0.3875,0.2,0.2,0.365,0.39,TR1,EN4,NN2,NN2,BASE-HGB,BASE-HGB-TUNED
analcatdata_lawsuit,classification,analcatdata_lawsuit,0.9709,0.973,0.8689,0.9689,0.9689,0.9689,0.8959,0.973,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
ann_thyroid,classification,ann_thyroid,0.9925,0.9925,0.9925,0.9831,0.9831,0.9831,0.9817,0.935,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
auto_insurance_price,regression,auto_insurance_price,0.9214,0.9214,0.8885,0.9214,0.9214,0.9214,0.8689,0.9055,LM4,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
balance_scale,classification,balance_scale,1.0,1.0,0.5485,0.6768,0.5938,1.0,0.6599,0.7563,TR1,EN4,TR3,NN2,BASE-HGB,BASE-HGB-TUNED
banana,classification,banana,0.899,0.8991,0.5222,0.8938,0.8938,0.8938,0.8931,0.8991,LM2,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
biomed,classification,biomed,0.9016,0.9016,0.8542,0.9016,0.8825,0.8825,0.8905,0.8926,TR1,EN4,NN2,NN2,BASE-HGB,BASE-HGB-TUNED
breast_cancer,classification,breast_cancer,0.6376,0.6376,0.5915,0.6055,0.6055,0.6196,0.5962,0.61,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
breast_cancer_wisconsin_diagnostic,classification,breast_cancer_wisconsin_diagnostic,0.9746,0.9746,0.9746,0.9588,0.9727,0.9588,0.96,0.9698,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
breast_cancer_wisconsin_original,classification,breast_cancer_wisconsin_original,0.9672,0.9672,0.9601,0.9525,0.9649,0.9525,0.9557,0.9536,LM2,EN4,SV2,EN4,BASE-HGB,BASE-HGB-TUNED
bupa,classification,bupa,0.6364,0.6364,0.6334,0.5825,0.5955,0.5825,0.5998,0.5803,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
calendarDOW,classification,calendarDOW,0.6138,0.6138,0.5591,0.5778,0.5778,0.5778,0.5815,0.57,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
car_evaluation,classification,car_evaluation,0.987,0.987,0.9311,0.987,0.987,0.987,0.9793,0.9838,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
cars,classification,cars,0.9618,0.9701,0.8331,0.9508,0.7376,0.7376,0.9701,0.9411,TR1,EN4,NN2,NN2,BASE-HGB,BASE-HGB-TUNED
chess,classification,chess,0.9953,0.9962,0.995,0.9953,0.992,0.9953,0.9959,0.9962,TR1,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
churn,classification,churn,0.8558,0.8661,0.8292,0.8554,0.8554,0.8554,0.8552,0.8661,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
coil2000,classification,coil2000,0.5594,0.5594,0.5426,0.5326,0.5326,0.5326,0.5376,0.5367,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
collins,classification,collins,1.0,1.0,0.9813,0.9879,0.9879,0.9879,0.971,0.9822,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
congressional_voting_records,classification,congressional_voting_records,0.96,0.96,0.9419,0.9452,0.9544,0.9531,0.9513,0.9525,TR1,EN4,TR3,NN2,BASE-HGB,BASE-HGB-TUNED
contraceptive_method,classification,contraceptive_method,0.5252,0.5252,0.4444,0.4925,0.4925,0.4925,0.4863,0.4894,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
credit_approval_australia,classification,credit_approval_australia,0.8732,0.8732,0.8186,0.8549,0.8447,0.8549,0.8594,0.8648,TR1,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
credit_approval_germany,classification,credit_approval_germany,0.7086,0.7086,0.6188,0.6883,0.6883,0.6883,0.6688,0.6757,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
dermatology,classification,dermatology,0.9769,0.9769,0.9399,0.9472,0.9472,0.9472,0.9588,0.9607,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
dis,classification,dis,0.7416,0.7595,0.7405,0.7416,0.7416,0.7416,0.732,0.7595,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
ecoli,classification,ecoli,0.8493,0.8493,0.8475,0.8064,0.8309,0.8064,0.8047,0.7835,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
first_principles_supernovae_zg,regression,first_principles_supernovae_zg,0.9996,0.9996,0.5644,0.9992,0.9996,0.9996,0.9443,0.998,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
first_principles_supernovae_zr,regression,first_principles_supernovae_zr,0.999,0.999,0.5179,0.9981,0.999,0.999,0.68,0.9954,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
haberman,classification,haberman,0.5781,0.5781,0.552,0.5557,0.571,0.5557,0.5413,0.5663,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
heart_disease_cleveland,classification,heart_disease_cleveland,0.8487,0.8487,0.745,0.8112,0.7806,0.8112,0.8066,0.7943,TR1,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
heart_disease_hungarian,classification,heart_disease_hungarian,0.8109,0.8109,0.7204,0.7888,0.7794,0.7888,0.7715,0.7701,TR1,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
heart_disease_va_long_beach,classification,heart_disease_va_long_beach,0.5997,0.5997,0.5621,0.5519,0.5864,0.5519,0.5475,0.5705,TR1,EN4,LM2,EN4,BASE-HGB,BASE-HGB-TUNED
horse_colic_lesion_type,classification,horse_colic_lesion_type,0.3915,0.3915,0.3195,0.3568,0.3567,0.3568,0.344,0.3561,TR1,EN4,LM2,EN4,BASE-HGB,BASE-HGB-TUNED
horse_colic_outcome,classification,horse_colic_outcome,0.59,0.6185,0.5242,0.5726,0.5601,0.5726,0.6185,0.5759,TR1,EN4,LM2,EN4,BASE-HGB,BASE-HGB-TUNED
horse_colic_surgery,classification,horse_colic_surgery,0.743,0.743,0.6819,0.7248,0.6911,0.7248,0.7306,0.725,TR1,EN4,LM2,EN4,BASE-HGB,BASE-HGB-TUNED
hypothyroid,classification,hypothyroid,0.8801,0.8966,0.833,0.8801,0.8801,0.8801,0.8869,0.8966,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
ionosphere,classification,ionosphere,0.9271,0.9271,0.8852,0.9193,0.8932,0.8932,0.9191,0.9254,TR1,EN4,NN2,NN2,BASE-HGB,BASE-HGB-TUNED
irish,classification,irish,1.0,1.0,1.0,0.9834,0.9834,0.9834,0.9833,0.9915,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
