dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,EN3,XGBoost,True,,10,0.9621910402986394,0.01972442481318845,0.25,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,EN4,LightGBM,True,,11,0.9660716235396878,0.00841929201152095,0.34,ok,
breast_cancer_wisconsin_diagnostic,classification,569,30,False,A11 A21 A31 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.9646827346507989,0.011234706397783423,0.84,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,11,0.8776869912630719,0.02825441530620243,0.14,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,1,0.8181714080403161,0.03679465665255448,0.12,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,2,0.873288182356762,0.03818844626305838,1.93,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,3,0.8651040670760117,0.04051711272400344,1.61,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,EN1,AdaBoost,True,,4,0.8535040427856815,0.022879037659646047,0.51,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,5,0.8535056603337102,0.03640503709431219,0.9,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,EN6,Stacking,True,,7,0.8716394852329612,0.04246326352489744,0.56,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,EN7,Voting Ensemble,True,,8,0.8612250513548908,0.03953490358841334,0.19,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,SV1,SVM (linear),True,,14,0.8630325573560844,0.028088102246573418,0.13,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,15,0.8600778302662574,0.03031047699577234,0.14,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,16,0.8335579676801252,0.03902496962502619,0.1,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,17,0.8393954183810568,0.04242133543277158,0.1,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,18,0.8659103921767786,0.031243409287004233,0.19,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,19,0.7954548978812108,0.054350973228013445,0.11,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,9,0.8611953571491828,0.028727634670202947,5.05,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,12,0.8641891493793856,0.01972164963783033,0.44,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,13,0.8538275975742924,0.027523294015487615,0.34,ok,
credit_approval_australia,classification,690,15,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8570269629894167,0.025291928043581657,0.97,ok,
tic_tac_toe,classification,958,9,False,A11 A21 A32 A41 A51 A61,A53,LM2,Logistic Regression,False,needs A31 data (yours is A32),,0.9759384893713252,0.0054768403217284765,0.1,ok,
tic_tac_toe,classification,958,9,False,A11 A21 A32 A41 A51 A61,A53,TR1,Decision Tree,True,,1,0.9394852232344769,0.02046273327905185,0.08,ok,
tic_tac_toe,classification,958,9,False,A11 A21 A32 A41 A51 A61,A53,TR2,Random Forest,True,,2,0.9826753677499946,0.008113832296152403,1.94,ok,
tic_tac_toe,classification,958,9,False,A11 A21 A32 A41 A51 A61,A53,TR3,Extra Trees,True,,3,0.9894843962008141,0.007628732606708712,1.65,ok,
tic_tac_toe,classification,958,9,False,A11 A21 A32 A41 A51 A61,A53,EN1,AdaBoost,True,,4,0.7696898537614956,0.05218710011933239,0.48,ok,
tic_tac_toe,classification,958,9,False,A11 A21 A32 A41 A51 A61,A53,EN2,Gradient Boosting (GBM),True,,5,0.9713308005427408,0.009026945780020145,0.74,ok,
