dataset,rep,scenario,checker,sees,fired,statistic,seconds
allbp,1,selection,DR-M2,features,1,0.273527,0.0048
allbp,1,selection,DR-M3,features,1,0.0,0.0213
allbp,1,selection,DR-M4,features,1,0.131094,0.0964
allbp,1,selection,DR-M5,features,0,0.048117,0.0065
allbp,1,selection,DR-M6,features,1,0.538843,0.0562
allbp,1,selection,DR-M7,features,1,0.0,0.0177
allbp,1,selection,DR-M8,errors,0,0.002,0.0001
allbp,1,selection,DR-M10,joint,1,0.01631,0.1271
allbp,1,selection,DR-M12,features,1,1e-06,1.1934
allbp,1,selection,DR-M13,features,1,0.0,0.0088
allbp,1,selection,DR-M14,joint,1,0.195713,0.1046
allbp,1,selection,DR-C1,errors,0,,0.0008
allbp,1,selection,DR-C2,errors,0,,0.0003
allbp,1,selection,DR-C3,errors,0,,0.0006
allbp,1,selection,DR-C4,errors,0,,0.0003
allbp,1,selection,DR-C5,errors,0,,0.3701
allbp,1,selection,DR-C6,errors,0,,0.0204
allbp,1,selection,DR-C7,errors,0,,0.0074
allbp,1,selection,DR-C9,errors,0,,0.0004
allbp,1,selection,DR-MV1,joint,1,80.90838,0.0009
allbp,1,selection,DR-MV2,joint,0,0.028,0.003
allbp,1,selection,DR-CV1,joint,0,0.5119,0.9029
allbp,1,label_shift,DR-M1,features,0,0.186802,0.018
allbp,1,label_shift,DR-M2,features,0,0.097377,0.0059
allbp,1,label_shift,DR-M3,features,0,0.054089,0.0208
allbp,1,label_shift,DR-M4,features,1,0.075636,0.0858
allbp,1,label_shift,DR-M5,features,0,0.017361,0.0055
allbp,1,label_shift,DR-M6,features,0,0.192515,0.0571
allbp,1,label_shift,DR-M7,features,0,0.014021,0.0229
allbp,1,label_shift,DR-M8,errors,1,0.018,0.0001
allbp,1,label_shift,DR-M10,joint,0,0.003528,0.1173
allbp,1,label_shift,DR-M12,features,0,0.064468,1.2569
allbp,1,label_shift,DR-M13,features,0,0.004328,0.0081
allbp,1,label_shift,DR-M14,joint,0,0.038176,0.1022
allbp,1,label_shift,DR-C1,errors,1,216.0,0.0008
allbp,1,label_shift,DR-C2,errors,0,,0.0003
allbp,1,label_shift,DR-C3,errors,0,,0.0006
allbp,1,label_shift,DR-C4,errors,0,,0.0003
allbp,1,label_shift,DR-C5,errors,0,,0.3749
allbp,1,label_shift,DR-C6,errors,0,,0.0268
allbp,1,label_shift,DR-C7,errors,0,,0.0099
allbp,1,label_shift,DR-C9,errors,0,,0.0005
allbp,1,label_shift,DR-MV1,joint,0,26.888964,0.001
allbp,1,label_shift,DR-MV2,joint,0,0.032,0.0035
allbp,1,label_shift,DR-CV1,joint,0,0.50584,0.947
allbp,1,concept,DR-M1,features,0,0.20871,0.0179
allbp,1,concept,DR-M2,features,0,0.068886,0.0048
allbp,1,concept,DR-M3,features,0,0.139717,0.0208
allbp,1,concept,DR-M4,features,0,0.055281,0.0911
allbp,1,concept,DR-M5,features,0,0.010031,0.007
allbp,1,concept,DR-M6,features,0,0.121781,0.0612
allbp,1,concept,DR-M7,features,0,0.060285,0.0191
allbp,1,concept,DR-M8,errors,1,0.166,0.0001
allbp,1,concept,DR-M10,joint,0,0.003049,0.1236
allbp,1,concept,DR-M12,features,0,0.097951,1.2352
allbp,1,concept,DR-M13,features,0,0.014518,0.008
allbp,1,concept,DR-M14,joint,0,0.032883,0.1143
allbp,1,concept,DR-C1,errors,1,19.0,0.0006
allbp,1,concept,DR-C2,errors,1,86.0,0.0003
allbp,1,concept,DR-C3,errors,0,,0.0007
allbp,1,concept,DR-C4,errors,1,107.0,0.0003
allbp,1,concept,DR-C5,errors,0,,0.3895
allbp,1,concept,DR-C6,errors,1,176.0,0.016
allbp,1,concept,DR-C7,errors,0,,0.0077
allbp,1,concept,DR-C9,errors,0,,0.0005
allbp,1,concept,DR-MV1,joint,0,25.401022,0.0009
allbp,1,concept,DR-MV2,joint,0,0.016,0.0029
allbp,1,concept,DR-CV1,joint,0,0.50292,0.8665
allbp,2,none,DR-M1,features,0,0.021888,0.0219
allbp,2,none,DR-M2,features,0,0.128098,0.0064
allbp,2,none,DR-M3,features,0,0.005507,0.0199
allbp,2,none,DR-M4,features,0,0.061962,0.0804
allbp,2,none,DR-M5,features,0,0.022849,0.0054
allbp,2,none,DR-M6,features,0,0.214624,0.0562
allbp,2,none,DR-M7,features,0,0.007043,0.0197
allbp,2,none,DR-M8,errors,0,0.002,0.0001
allbp,2,none,DR-M10,joint,0,0.004139,0.1254
allbp,2,none,DR-M12,features,0,0.008673,1.1714
allbp,2,none,DR-M13,features,0,0.006053,0.0102
allbp,2,none,DR-M14,joint,0,0.046386,0.1135
allbp,2,none,DR-C1,errors,0,,0.0008
allbp,2,none,DR-C2,errors,0,,0.0003
allbp,2,none,DR-C3,errors,0,,0.0007
allbp,2,none,DR-C4,errors,0,,0.0003
allbp,2,none,DR-C5,errors,0,,0.41
allbp,2,none,DR-C6,errors,0,,0.0204
allbp,2,none,DR-C7,errors,0,,0.0073
allbp,2,none,DR-C9,errors,0,,0.0005
allbp,2,none,DR-MV1,joint,1,40.70958,0.001
allbp,2,none,DR-MV2,joint,0,0.044,0.0029
allbp,2,none,DR-CV1,joint,0,0.5793,0.9229
allbp,2,shift,DR-M1,features,1,0.0,0.0218
allbp,2,shift,DR-M2,features,1,2.962636,0.0084
allbp,2,shift,DR-M3,features,1,0.0,0.0314
allbp,2,shift,DR-M4,features,1,2.20495,0.1064
allbp,2,shift,DR-M5,features,1,0.300754,0.007
allbp,2,shift,DR-M6,features,1,0.359104,0.0605
allbp,2,shift,DR-M7,features,1,5e-06,0.0171
allbp,2,shift,DR-M8,errors,1,0.006,0.0001
allbp,2,shift,DR-M10,joint,1,0.005758,0.1097
allbp,2,shift,DR-M12,features,1,0.0,1.1523
allbp,2,shift,DR-M13,features,1,0.0,0.0081
allbp,2,shift,DR-M14,joint,1,0.058581,0.1051
allbp,2,shift,DR-C1,errors,1,7.0,0.0008
allbp,2,shift,DR-C2,errors,0,,0.0003
allbp,2,shift,DR-C3,errors,0,,0.0006
allbp,2,shift,DR-C4,errors,0,,0.0003
allbp,2,shift,DR-C5,errors,0,,0.3757
allbp,2,shift,DR-C6,errors,0,,0.0231
allbp,2,shift,DR-C7,errors,0,,0.0075
allbp,2,shift,DR-C9,errors,0,,0.0005
allbp,2,shift,DR-MV1,joint,1,43.397332,0.0009
allbp,2,shift,DR-MV2,joint,0,0.028,0.0032
allbp,2,shift,DR-CV1,joint,1,0.95764,0.8729
allbp,2,scale,DR-M1,features,1,0.0,0.0176
allbp,2,scale,DR-M2,features,1,2.0498,0.0047
allbp,2,scale,DR-M3,features,1,0.0,0.0204
allbp,2,scale,DR-M4,features,1,1.297,0.1004
allbp,2,scale,DR-M5,features,1,0.26689,0.0053
allbp,2,scale,DR-M6,features,1,0.532816,0.0543
allbp,2,scale,DR-M7,features,1,0.000109,0.0196
allbp,2,scale,DR-M8,errors,1,0.018,0.0
allbp,2,scale,DR-M10,joint,1,0.006302,0.1158
allbp,2,scale,DR-M12,features,1,0.0,1.1188
allbp,2,scale,DR-M13,features,1,0.0,0.008
allbp,2,scale,DR-M14,joint,1,0.064496,0.1157
allbp,2,scale,DR-C1,errors,1,125.0,0.0007
allbp,2,scale,DR-C2,errors,0,,0.0003
allbp,2,scale,DR-C3,errors,0,,0.0006
allbp,2,scale,DR-C4,errors,0,,0.0003
allbp,2,scale,DR-C5,errors,0,,0.3805
allbp,2,scale,DR-C6,errors,0,,0.0195
allbp,2,scale,DR-C7,errors,0,,0.0071
allbp,2,scale,DR-C9,errors,0,,0.0005
allbp,2,scale,DR-MV1,joint,1,56.493493,0.001
allbp,2,scale,DR-MV2,joint,0,0.048,0.0027
allbp,2,scale,DR-CV1,joint,1,0.96596,0.8973
allbp,2,correlation,DR-M1,features,0,0.039916,0.0196
