dataset,task,condition,best_column,best_score,flags,caught
soybean,classification,clean,canker-lesion,0.2421,,
spambase,classification,clean,51,0.7803,duplicates:,
spambase,classification,leak,extra,1.0,leak:extra;duplicates:,1
spambase,classification,leak_1,extra,0.9899,duplicates:,0
spambase,classification,leak_5,extra,0.949,duplicates:,0
spambase,classification,id_run,51,0.7803,id:extra,1
spambase,classification,id_code,51,0.7803,id:extra,1
spambase,classification,copies_2,51,0.7699,duplicates:,1
spect,classification,clean,F1,0.5,,
spectf,classification,clean,F13S,0.7015,duplicates:,
splice,classification,clean,A28,0.5848,,
splice,classification,leak,extra,1.0,leak:extra,1
splice,classification,leak_1,extra,0.9898,,0
splice,classification,leak_5,extra,0.9491,,0
splice,classification,id_run,A28,0.5848,id:extra,1
splice,classification,id_code,A28,0.5848,id:extra,1
splice,classification,copies_2,A28,0.5844,,0
strogatz_bacres1,regression,clean,y,0.962,,
strogatz_bacres2,regression,clean,y,0.9824,,
strogatz_barmag1,regression,clean,x,0.967,,
strogatz_barmag2,regression,clean,y,0.7997,,
strogatz_glider1,regression,clean,y,0.8432,,
strogatz_glider2,regression,clean,x,0.8084,,
strogatz_glider2,regression,leak,extra,1.0,leak:extra,1
strogatz_glider2,regression,leak_1,extra,0.9917,leak:extra,1
strogatz_glider2,regression,leak_5,extra,0.9639,,0
strogatz_glider2,regression,id_run,x,0.8084,id:extra,1
strogatz_glider2,regression,id_code,x,0.8084,id:extra,1
strogatz_glider2,regression,copies_2,x,0.7617,duplicates:,1
strogatz_lv1,regression,clean,y,0.1619,,
strogatz_lv2,regression,clean,x,0.294,,
strogatz_predprey1,regression,clean,y,0.8728,,
strogatz_predprey2,regression,clean,x,0.643,,
strogatz_shearflow1,regression,clean,y,0.6681,,
strogatz_shearflow2,regression,clean,x,0.8064,,
strogatz_vdp1,regression,clean,y,0.4878,,
strogatz_vdp2,regression,clean,x,1.0,leak:x,
strogatz_vdp2,regression,leak,extra,1.0,leak:extra;leak:x,1
